model,variable,coefficient,std_err,z_stat,p_value
OLS,const,-146.9331005969412,43.851688316111215,,0.0008061256514358774
OLS,4_flood_mean,141.7929887649458,57.830683571416216,,0.01421182443143124
OLS,4_waste_count,-8.397368043515003,2.277822396862235,,0.00022729054030750192
OLS,3_fb_baseline_median,0.42845627802051917,0.08403377277164473,,3.421385325615968e-07
SLM,const,-140.36519342179938,20.972105045141262,-6.692947280192965,2.187205971893036e-11
SLM,4_flood_mean,135.4763234228785,76.21105763039239,2.187199545514284e-11,0.9999999999825486
SLM,4_waste_count,-7.926918695866369,0.5517704051866645,1.7776465467768494,0.07546192389120954
SLM,3_fb_baseline_median,0.3955132723416941,0.021924522516235643,0.07546192389120955,0.9398471914566313
SLM,rho,0.1180600656403234,0.06623780799290266,-14.366335383980378,0.0
SEM,const,-166.19902208813613,35.07890074124458,-4.737862891260015,2.1598385699928002e-06
SEM,4_flood_mean,94.690438952792,85.65545879048642,2.1598385698847294e-06,0.9999982766981512
SEM,4_waste_count,-6.591324795767098,0.5846095787570597,1.1054804946454746,0.2689514416768679
SEM,3_fb_baseline_median,0.4303220486540499,0.0164550184153145,0.2689514416768678,0.7879670501272897
SEM,lambda,0.5428369666858658,0.07570956375562117,-11.274746489410822,0.0
