y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
1_outflow_accumulated_hour0,4_flood_mean,141.7929887649458,0.01421182443143124,4_waste_count,-8.397368043515003,0.00022729054030750192,3_fb_baseline_median,0.42845627802051917,3.421385325615968e-07,0.8471617310888823,0.8452978497606979,250,3424.536327219327,3438.622170890776
1_outflow_accumulated_hour0,4_flood_p95,23.907858964845406,0.019853854835561697,4_waste_count,-8.425970803191701,0.00022433679593302435,3_fb_baseline_median,0.4278464745069229,3.3481584330894345e-07,0.8471381511285484,0.8452739822398722,250,3424.574894362434,3438.660738033883
1_outflow_accumulated_hour0,4_flood_max,8.174724783107271,0.06545965463186738,4_waste_count,-8.391939102108129,0.00024131080849178795,3_fb_baseline_median,0.42655643981451646,3.3548868028275355e-07,0.8463711608572038,0.8444976384286331,250,3425.826142609815,3439.911986281264
1_outflow_max_hour0,4_flood_mean,111.22125804109375,0.07155809476568462,4_waste_count,-7.309206864168861,0.0006122597055629418,3_fb_baseline_median,0.3729420163442553,3.1121575091820167e-06,0.8330623103729173,0.830806395648227,226,3075.152602148625,3088.8347421457142
1_outflow_max_hour0,4_flood_p95,16.48126577067286,0.12621912412535527,4_waste_count,-7.3259622585990325,0.000614054841909178,3_fb_baseline_median,0.3724730085266278,3.0860814385064065e-06,0.8328429952743959,0.8305841168321579,226,3075.449315746436,3089.131455743525
1_outflow_max_hour0,4_flood_max,5.023121827450272,0.3444825682122161,4_waste_count,-7.300361298310832,0.0006567171833665014,3_fb_baseline_median,0.37164648216696217,2.964256868965913e-06,0.8322428308213498,0.8299758420486653,226,3076.2592982562564,3089.9414382533455
1_outflow_accumulated_hour0,4_flood_mean,131.6053351884747,0.11492747512120496,4_waste_per_svi_count,-32.54049200733611,0.0002534750975077874,3_fb_baseline_median,0.40128463368990913,7.279884479578712e-07,0.829486740105993,0.8271615592892565,224,3116.4476859275346,3130.094270134955
1_outflow_accumulated_hour0,4_flood_p95,16.64179149277974,0.18483218920254385,4_waste_per_svi_count,-32.55914771645262,0.00025794525500980357,3_fb_baseline_median,0.40052013092899885,7.383528247530548e-07,0.8289560454424351,0.8266236278802864,224,3117.143766673414,3130.7903508808345
1_outflow_accumulated_hour0,4_flood_max,6.053230259664945,0.2950536065296139,4_waste_per_svi_count,-32.485709724571976,0.0002635540831176847,3_fb_baseline_median,0.3997784162915534,6.85960934978829e-07,0.8286483385250942,0.8263117249595273,224,3117.546379118275,3131.1929633256955
1_outflow_max_hour0,4_flood_mean,104.79588471097448,0.1809877684493123,4_waste_per_svi_count,-28.346587487083188,0.0005614917784565004,3_fb_baseline_median,0.34817788918825027,5.351247859045164e-06,0.8146105258492395,0.8118707799258292,207,2855.734643725751,2869.0655188988126
1_outflow_max_hour0,4_flood_p95,11.270639217552286,0.3613110729404796,4_waste_per_svi_count,-28.352397786447856,0.0005749297709168774,3_fb_baseline_median,0.34755361587026984,5.363298811605018e-06,0.8139836733890421,0.8112346636361708,207,2856.433386622096,2869.7642617951574
1_outflow_max_hour0,4_flood_max,3.26297996491579,0.5785907436088931,4_waste_per_svi_count,-28.298935914767466,0.0005915928715597303,3_fb_baseline_median,0.34713535353398145,4.967163985939163e-06,0.813710987747176,0.8109579481572328,207,2856.7366105196197,2870.067485692681
2_outflow_max,4_flood_max,6.9007745876194235,0.1558861218704883,4_waste_count,-4.629941544657108,0.050252690926767984,3_fb_baseline_median,0.3593550786837985,3.073226379511803e-05,0.8117496691260883,0.8094539333837235,250,3429.9618180861653,3444.047661757614
2_outflow_max,4_flood_mean,87.49705722271045,0.1400447708077711,4_waste_count,-4.628223342579035,0.050225995497633555,3_fb_baseline_median,0.36063141855879205,3.341249026822592e-05,0.8115923338436168,0.8092946793782951,250,3430.170675050391,3444.2565187218397
2_outflow_max,4_flood_p95,11.127237192972876,0.3170012076481311,4_waste_count,-4.63732760157774,0.050697261632554336,3_fb_baseline_median,0.3601289356437732,3.3382015156820934e-05,0.8111724117984367,0.8088696363325639,250,3430.727253755289,3444.813097426738
2_outflow_max,4_flood_max,6.979220474655669,0.2590790133035821,4_waste_per_svi_count,-19.112324286387977,0.028444947078496458,3_fb_baseline_median,0.34763534664914386,9.499806351568397e-06,0.8101637768973643,0.8075751011277829,224,3097.2397480405707,3110.886332247991
2_outflow_max,4_flood_mean,84.34747090938632,0.25201970540911856,4_waste_per_svi_count,-19.124300433126262,0.02847500783071047,3_fb_baseline_median,0.3490032243755279,1.0589736274286192e-05,0.8100408324656974,0.8074504801811386,224,3097.3847711468766,3111.031355354297
2_outflow_max,4_flood_p95,6.714042962095867,0.588224394282219,4_waste_per_svi_count,-19.1080894103225,0.02883909558290912,3_fb_baseline_median,0.3485237817372774,1.0470352389010436e-05,0.8095378643352313,0.8069406533943482,224,3097.977087749152,3111.6236719565723
2_displaced_excess_max,4_flood_mean,44.4813497598959,0.5010090840886314,4_waste_per_svi_count,-19.49817333897832,0.013797367963922216,3_fb_baseline_median,0.3079178608697173,1.8467148072067866e-05,0.805074569596792,0.8024164955458392,224,3042.9599206224875,3056.606504829908
2_displaced_excess_max,4_flood_max,1.3457052872330157,0.7917133404374409,4_waste_per_svi_count,-19.47443120223777,0.013944029635329725,3_fb_baseline_median,0.3074997069178691,1.6362960471870738e-05,0.8048726519612077,0.8022118244879515,224,3043.191835670455,3056.8384198778754
