Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.8452978497606979,3424.536327219327,3438.622170890776,-1708.2681636096636
SLM,0.8489996008682822,3424.052931583711,3441.6602361730224,-1707.0264657918556
SEM,0.8359304073156419,3408.3380447131876,3422.4238883846365,-1700.1690223565938
