model,variable,coefficient,std_err,z_stat,p_value
OLS,const,2829.768702394146,1260.1709801168145,,0.024733265539844698
OLS,4_flood_max,477.43500780264526,386.52725573968615,,0.2167594085031972
SLM,const,-47.37266464266713,818.6412770847703,-0.057867427368632054,0.9538542288212866
SLM,4_flood_max,292.31527123529617,186.24451343656537,0.9538542288212867,0.34015743496908524
SLM,rho,0.7656508366561137,0.0491588303217659,1.5695242015000799,0.1165258447955071
SEM,const,2972.0808779658028,2200.922406982252,1.3503796719671313,0.17689422797679333
SEM,4_flood_max,323.9209183859787,228.0847272230409,0.17689422797679333,0.8595914725326388
SEM,lambda,0.7677217818983165,0.049125008103260884,1.420178029146252,0.15555585828848506
