model,statistic,value
OLS,Moran's I,0.25614625369812816
OLS,Expected I,-0.004016064257028112
OLS,z-score,7.494706407186359
OLS,p-value,0.001
SLM,Moran's I,0.22968275735818683
SLM,Expected I,-0.004016064257028112
SLM,z-score,6.7323510548263075
SLM,p-value,0.001
SEM,Moran's I,0.4624719725645724
SEM,Expected I,-0.004016064257028112
SEM,z-score,13.43849834181316
SEM,p-value,0.001
