y,flood_var,flood_coefficient,flood_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,-0.08059813584741132,0.6760980102905512,3_fb_baseline_median,0.0033595311377918303,2.6245637909557166e-09,0.22565832169964561,0.21933716514209167,248,1831.1965965834634,1841.7368828219583
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,-0.016850025915294053,0.9735932547521944,3_fb_baseline_median,0.003352377422961195,2.6891994018228145e-09,0.22530904751650038,0.21898503974112482,248,1831.3084341227982,1841.848720361293
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,4.459914510530945,0.265608068911404,3_fb_baseline_median,0.0032370605327495233,2.140155694776449e-08,0.2101200901232947,0.2034261925819667,239,1777.075804645885,1787.5051953016796
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_max,-0.18633537567894443,0.2488990598751054,3_fb_baseline_median,0.0027878335342758445,1.189608388631731e-07,0.20874372650374806,0.20228449161806428,248,1764.103226360794,1774.643512599289
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.2504730131516254,0.5360466309738804,3_fb_baseline_median,0.00277057965770784,1.2402034453542596e-07,0.20707404947255925,0.2006011845702943,248,1764.625994576195,1775.1662808146898
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_mean,1.0710367974309287,0.707125247177945,3_fb_baseline_median,0.0027796903031909407,1.1448392466866149e-07,0.20666928067143864,0.2001931115340625,248,1764.7525600517129,1775.2928462902078
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.13102536734574746,0.8138869758235837,3_fb_baseline_median,0.003216922479676395,3.023731097693927e-08,0.20578420109909656,0.19905355873552966,239,1778.3841600172905,1788.813550673085
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_max,0.010818429190920305,0.9661121859363858,3_fb_baseline_median,0.003216736505041796,3.215338942517477e-08,0.20562995046523258,0.1988980008929041,239,1778.4305735008875,1788.859964156682
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_mean,2.8122949400547044,0.38816292654551376,3_fb_baseline_median,0.0026582577466836227,8.866643308205581e-07,0.18813722529992516,0.18125703229399237,239,1714.4151636433376,1724.8445542991321
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_max,-0.14383368333574495,0.5058630711725788,3_fb_baseline_median,0.0026671951626108287,9.694152404247478e-07,0.1868422231132132,0.1799510555124777,239,1714.796088780366,1725.2254794361606
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.13689234047117846,0.7556160444197392,3_fb_baseline_median,0.002647864712279053,1.0489266114732596e-06,0.18598131683918828,0.17908285342257124,239,1715.0489889712708,1725.4783796270654
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-0.9911869242659103,0.13055199069529722,3_fb_baseline_median,0.002362633062292687,4.137475769065749e-06,0.09763774292930416,0.09027152042260456,248,1924.7383461289,1935.278632367395
2_outflow_max,4_flood_max,8.520842885242631,0.46121270853133156,3_worldpop,0.0030193742833486384,7.676196800936486e-05,0.09621560033657339,0.08889750803160634,250,3820.1663710089542,3830.730753762541
2_outflow_max,4_flood_mean,-72.76283521858261,0.17227220427025658,3_worldpop,0.0030635769889241623,5.573020287574409e-05,0.09519446259554964,0.08786810196879291,250,3820.4486732126215,3831.0130559662084
2_outflow_max,4_flood_p95,-3.1378427018530823,0.8252621781448752,3_worldpop,0.0030694368464561383,5.5088593577117144e-05,0.09457075347134825,0.08723934256828214,250,3820.6209462112456,3831.1853289648325
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_mean,-3.5063211649369586,0.45853955532972523,3_fb_baseline_median,0.0023389306773612807,6.52095073689419e-06,0.09253892146043308,0.08513107592133451,248,1926.1357323212042,1936.676018559699
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_max,-0.2349367468628867,0.4133777088062286,3_fb_baseline_median,0.002386670741991851,4.0016812614655935e-06,0.09207530549488341,0.08466367533565788,248,1926.262401554447,1936.802687792942
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.7320818113182319,0.3003426127662028,3_fb_baseline_median,0.002162896489532592,4.6490143403940514e-05,0.08207508066966973,0.07429605592958222,239,1853.3440098349706,1863.7734004907652
3_pct_outflow_fb_from_2_outflow_max,4_flood_mean,-0.7281320786325214,0.8972537968956773,3_fb_baseline_median,0.0021521446623215773,5.534806174034142e-05,0.07798710507865181,0.07017343647762342,239,1854.406032438511,1864.8354230943055
3_pct_outflow_fb_from_2_outflow_max,4_flood_max,0.024212972852914936,0.9439590870411594,3_fb_baseline_median,0.002151711650809677,5.3229745464999234e-05,0.07790549170967254,0.07009113146992407,239,1854.4271869495383,1864.8565776053329
2_displaced_excess_max,4_flood_mean,-81.60891202295795,0.07304135112296027,3_worldpop,0.002318278768897348,0.0003902446153127501,0.07222885667481449,0.06471653972481295,250,3758.672395983078,3769.2367787366647
2_displaced_excess_max,4_flood_max,5.091708695116345,0.6202118998603642,3_worldpop,0.0022934179152863943,0.0004898963770033382,0.07191906903277467,0.06440424368081321,250,3758.7558583584487,3769.3202411120355
2_displaced_excess_max,4_flood_p95,-8.051039240857541,0.5188536942377389,3_worldpop,0.0023290340881148897,0.00036369466571554103,0.07149940726493531,0.06398118384197926,250,3758.868878381979,3769.4332611355658
1_outflow_accumulated_hour0,4_flood_max,10.638673548825393,0.41805497567360017,3_worldpop,0.002372238591897505,8.66492288372408e-05,0.051477596650428725,0.04379725330346851,250,3878.91760534431,3889.4819880978966
1_outflow_accumulated_hour0,4_flood_mean,-43.98300963599092,0.4679839416264424,3_worldpop,0.0024293364285045385,4.560240898363439e-05,0.04949667205554109,0.041800288833318655,250,3879.4391689231325,3890.0035516767193
1_outflow_accumulated_hour0,4_flood_p95,5.4255543901921985,0.7380213387852368,3_worldpop,0.002426119614841794,5.2717348610008547e-05,0.049401196409542214,0.04170404010516593,250,3879.464279527264,3890.0286622808508
1_outflow_max_hour0,4_flood_max,16.97536898148344,0.3531699329332184,3_worldpop,0.0018195348075326525,0.0004265173974289024,0.04524601337431877,0.03668319735077008,226,3467.2588770717257,3477.5204820695426
1_outflow_max_hour0,4_flood_p95,8.012099538267403,0.6582221316708317,3_worldpop,0.0019271229891331663,0.00011161158288762163,0.040847446321047864,0.03224518126563125,226,3468.2976716871126,3478.5592766849295
1_outflow_max_hour0,4_flood_mean,-27.465514359086832,0.712571689664175,3_worldpop,0.0019400508478365002,8.955521954601656e-05,0.04068336844652187,0.032079631840661094,226,3468.336329175092,3478.597934172909
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-1.061928309604882,0.11788937858592441,3_worldpop,2.6997380071895928e-05,0.09447081411825073,0.0217582897672296,0.013772643153084463,248,1944.7620477050054,1955.3023339435003
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_mean,-4.648571704509503,0.3269810630839154,3_worldpop,2.583779146492745e-05,0.1099197799045119,0.017682580060494724,0.009663662346702795,248,1945.7931591341708,1956.3334453726657
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_max,-0.22035931062444994,0.4798588976662821,3_worldpop,2.724518795686293e-05,0.09420912375540763,0.014728502966487755,0.006685470337642663,248,1946.537838740217,1957.078124978712
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.7490870154016082,0.3069533087379135,3_worldpop,2.1698582896219924e-05,0.17026240623594302,0.012856547547400288,0.004490925068988405,239,1870.7192550360382,1881.1486456918328
3_pct_outflow_fb_from_2_outflow_max,4_flood_mean,-1.5939397895960852,0.7770541116667063,3_worldpop,2.084794341961895e-05,0.18816221279212353,0.008971105746722219,0.0005725557954232574,239,1871.6581234678924,1882.087514123687
3_pct_outflow_fb_from_2_outflow_max,4_flood_max,0.10041790683317364,0.7836437360446543,3_worldpop,2.0123655101573537e-05,0.20801325329392806,0.008816886584571693,0.00041702969122059397,239,1871.6953126077883,1882.124703263583
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,0.5442713686935754,0.8760693884282631,3_worldpop,1.8608213842158518e-05,0.0731208669680718,0.008132846852026088,3.597213245065678e-05,248,1892.5954344415782,1903.135720680073
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,-0.07723016873452641,0.8886944558706072,3_worldpop,1.8650747366183984e-05,0.07377588926199888,0.008106749301529992,9.661540726013662e-06,248,1892.60195961721,1903.142245855705
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,-0.01461086973378993,0.9538215297188095,3_worldpop,1.8661145936424037e-05,0.07779139302579122,0.008057896712812762,-3.958984463370285e-05,248,1892.6141737780072,1903.154460016502
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_max,-0.1306574872620948,0.5249727966111188,3_worldpop,1.5087226578807741e-05,0.0881167270268633,0.00768397868224735,-0.0004165602672854263,248,1820.2553180151722,1830.795604253667
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.29881505302573597,0.49430148519332506,3_worldpop,1.46476417381407e-05,0.09543187697973636,0.007665731007259979,-0.00043495690288497535,248,1820.2598784391616,1830.8001646776565
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,3.2160246203018,0.415467916441821,3_worldpop,1.436603657790868e-05,0.17669999715589446,0.00720772822146698,-0.0012057656071646772,239,1831.7208909574451,1842.1502816132397
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_mean,-0.3482895844772548,0.9026634494714363,3_worldpop,1.436681302829199e-05,0.10096507469956624,0.006503843505078821,-0.0016063292010022323,248,1820.5500826073753,1831.0903688458702
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_max,0.19034938832661638,0.5460142645068874,3_worldpop,1.3201853623089514e-05,0.23160789397888626,0.006276963383432088,-0.00214441828281009,239,1831.9448538049787,1842.3742444607733
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.16023182774560593,0.7910692938481785,3_worldpop,1.4280306858121184e-05,0.1807923044362244,0.005103969068645298,-0.0033273532273832007,239,1832.226803906255,1842.6561945620497
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_mean,1.7949608520490548,0.5712711259204171,3_worldpop,1.0591771772764639e-05,0.23546012529988647,0.004495744458459239,-0.00394073228341818,239,1763.151582150544,1773.5809728063387
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.10991516337370814,0.8177692532215697,3_worldpop,1.0784490245672825e-05,0.22805223084584736,0.0036705678962354327,-0.004772901867355683,239,1763.3496079303845,1773.7789985861791
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_max,0.0063360152161371554,0.9810055382144425,3_worldpop,1.060951235322805e-05,0.24703421060759334,0.0035237997024823997,-0.004920913859360887,239,1763.3848121648566,1773.8142028206512
