model,variable,coefficient,std_err,z_stat,p_value
OLS,const,-106.9834917032105,60.33038053080065,,0.07618003052095426
OLS,4_flood_max,5.441157651305802,4.565534669118517,,0.23334367615850737
OLS,3_fb_baseline_median,0.2944325165979755,0.0644818257989609,,4.968064243359326e-06
SLM,const,-106.53966242929297,29.45612989670394,-3.616892741948917,0.0002981607803329567
SLM,4_flood_max,5.365261905657081,6.451926358840101,0.0002981607803328892,0.9997621021202603
SLM,3_fb_baseline_median,0.2695634710754483,0.022119226536947145,0.8315751927803504,0.4056487693435442
SLM,rho,0.11968832472547647,0.08353669499608422,0.4056487693435442,0.6850006895655296
SEM,const,-176.78266352791613,70.17731191674767,-2.5190857087492304,0.011766001224316813
SEM,4_flood_max,5.048446693370262,6.539403483511446,0.011766001224316845,0.990612305884724
SEM,3_fb_baseline_median,0.3827156070481006,0.019752368631885044,0.7720041600276683,0.4401119636198396
SEM,lambda,0.7881085941563566,0.046214619375433016,0.4401119636198396,0.6598560174541681
