y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,307.87903348078953,0.2550750592230099,4_waste_count,211.5184914754276,4.58313773617602e-12,0.5439125196892892,0.5402195036543846,250,5129.052896967588,5139.617279721175
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,98.4788018128354,0.9616780703725313,4_waste_count,212.84197965495213,6.9289831058947096e-12,0.5379376483875062,0.5341962528278908,250,5132.306699036107,5142.871081789694
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,-8.303284614431675,0.9873055864226478,4_waste_count,212.84531313649458,6.55464907953872e-12,0.5379351764919662,0.5341937609170023,250,5132.308036457842,5142.872419211429
3_estimated_excess_displacement_pop,4_flood_p95,-450.0781530481759,0.08967997637564677,4_waste_count,141.2231028557968,2.752680452291722e-11,0.44623415566932845,0.44175022170713674,250,5019.488666077873,5030.05304883146
3_estimated_excess_displacement_pop,4_flood_mean,-1805.281852569725,0.08198631424450961,4_waste_count,140.44143475828736,2.001894630763978e-11,0.4438368946290433,0.43933354964628246,250,5020.568584197219,5031.132966950806
3_estimated_excess_displacement_pop,4_flood_max,32.5975529535873,0.7355748680551353,4_waste_count,140.45406503526507,2.3568594818701955e-11,0.44188821638505604,0.4373690926310888,250,5021.4430004879705,5032.007383241557
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,587.413516314122,0.0982323820803975,4_waste_per_svi_count,832.6027073193993,6.667196043301942e-08,0.439167386219421,0.4340919779499135,224,4661.969767878144,4672.204706033709
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,235.1401471416102,0.7274628076489573,4_waste_per_svi_count,843.0780548238706,9.52607509289303e-08,0.42457305335922735,0.41936556967922034,224,4667.724281134328,4677.959219289893
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,594.5789696285567,0.8502782730356873,4_waste_per_svi_count,844.7008172240355,1.0207822394913925e-07,0.42414175233733054,0.41893036548065476,224,4667.89211345581,4678.1270516113755
3_estimated_excess_displacement_pop,4_flood_p95,-397.8135560122061,0.24687529480172254,4_waste_per_svi_count,546.5167482957847,8.17763034182031e-07,0.3323857837774695,0.326344026164596,224,4559.910593786972,4570.145531942537
3_estimated_excess_displacement_pop,4_flood_mean,-2123.7242193241755,0.1927508098328924,4_waste_per_svi_count,543.9924227180604,7.074227481226936e-07,0.33172096512769544,0.32567319105645287,224,4560.133544819505,4570.36848297507
3_estimated_excess_displacement_pop,4_flood_max,144.04350846066137,0.2915667547399694,4_waste_per_svi_count,540.5768835022229,7.313808842563414e-07,0.33129636059714396,0.32524474395096425,224,4560.2758225316575,4570.5107606872225
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,122.82449954226593,0.2969244848572177,4_waste_count,98.94345189745766,1.1022710838495215e-05,0.28582811991928736,0.2800453516595245,250,5020.928529525394,5031.492912278981
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,54.35891127376753,0.84198297492768,4_waste_count,99.39207219197107,1.1812811063540514e-05,0.28361581571710814,0.27781513406299563,250,5021.701762403472,5032.266145157058
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,-294.25562312637095,0.7830446988785428,4_waste_count,99.44337956386228,1.059924304424037e-05,0.28360285139640873,0.2778020647680395,250,5021.706286583261,5032.270669336848
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,140.00864023766522,0.2734917341592681,4_waste_count,115.36290603441404,4.780925027586347e-05,0.27524750242088414,0.2693790611449398,250,5110.655172694197,5121.219555447784
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,-453.68056285378583,0.6905006372623448,4_waste_count,115.9228285525674,4.6507437222178906e-05,0.27325204240122447,0.2673674435542708,250,5111.342551492341,5121.906934245928
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,45.423269102868694,0.8765792021464807,4_waste_count,115.89743733854455,5.109531492404739e-05,0.27317434982593625,0.2672891218893041,250,5111.369276171074,5121.93365892466
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,247.37218831107788,0.10930152346445125,4_waste_per_svi_count,396.21798396061007,0.0003197431279096059,0.23547191575111048,0.22855310955881292,224,4535.9044970904315,4546.1394352459965
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,281.04677883117114,0.09273588227287645,4_waste_per_svi_count,468.7039680338646,0.0010888640786388209,0.23262861845667104,0.22568408106713866,224,4614.028794807751,4624.263732963316
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,192.53891008067995,0.5732269221880797,4_waste_per_svi_count,399.93722205225663,0.0003388988131437866,0.2298918546430786,0.22292255016021056,224,4537.53346840314,4547.7684065587055
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,-112.81268256037316,0.9427035023851564,4_waste_per_svi_count,401.38458925897044,0.00032062063226167035,0.22906470971912052,0.2220879197618275,224,4537.773929478376,4548.008867633941
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,196.83064119803095,0.589084616295773,4_waste_per_svi_count,473.09173004638006,0.0011481963836141428,0.22738255715579236,0.22039054409837877,224,4615.554938710128,4625.789876865693
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,-298.16115351386446,0.8597871529982304,4_waste_per_svi_count,474.6075215266805,0.0010833083984538472,0.22680262886628155,0.21980536758905334,224,4615.723010515069,4625.957948670634
