model,statistic,value
OLS,Moran's I,0.13940460828241932
OLS,Expected I,-0.004016064257028112
OLS,z-score,4.131635364617451
OLS,p-value,0.002
SLM,Moran's I,0.02201919677335416
SLM,Expected I,-0.004016064257028112
SLM,z-score,0.7500188312852016
SLM,p-value,0.187
SEM,Moran's I,0.16598821808918238
SEM,Expected I,-0.004016064257028112
SEM,z-score,4.89745092280767
SEM,p-value,0.001
