metric,value
pseudo_r2,0.5996640791689285
4_flood_max_Direct,254.3331
4_flood_max_Indirect,168.6329
4_flood_max_Total,422.9659
4_waste_count_Direct,158.0638
4_waste_count_Indirect,104.8025
4_waste_count_Total,262.8663
