Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.5402195036543846,5129.052896967588,5139.617279721175,-2561.526448483794
SLM,0.5999155173125058,5105.322835645461,5119.40867931691,-2548.6614178227305
SEM,0.5438937573757897,5111.854687659192,5122.419070412779,-2552.927343829596
