Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.08723934256828214,3820.6209462112456,3831.1853289648325,-1907.3104731056228
SLM,0.6678037203126389,3657.778448179579,3671.8642918510277,-1824.8892240897894
SEM,0.09451664593470845,3651.757813539606,3662.322196293193,-1822.878906769803
