model,variable,coefficient,std_err,z_stat,p_value
OLS,const,132.35382343691398,30.2886800307548,,1.2439142057926644e-05
OLS,4_flood_p95,2.167483560386573,18.307381377168312,,0.9057555034697279
OLS,3_worldpop,0.0029637431984200764,0.0007558255065901799,,8.810898672792619e-05
SLM,const,17.883789051576457,32.18055701989179,0.5557327376440978,0.5783935730897936
SLM,4_flood_p95,2.2392484631793907,22.086932988137963,0.5783935730897937,0.56299843203318
SLM,3_worldpop,0.00017139920343313842,0.0004149471398851665,0.10138340458505508,0.9192461098133704
SLM,rho,0.8724278330570459,0.033274256906833034,0.9192461098133704,0.3579668582018263
SEM,const,209.9450165275207,207.9728284345139,1.0094829123008624,0.3127430925862371
SEM,4_flood_p95,1.8754454408054657,25.15341990036027,0.3127430925862372,0.7544758534501561
SEM,3_worldpop,-0.0011687014304278044,0.0006349886177491147,0.07456025654700751,0.94056459674445
SEM,lambda,0.8930012177453646,0.029450010410914888,0.9405645967444501,0.3469280318131893
