metric,value
pseudo_r2,0.6171975161635512
4_flood_p95_Direct,0.5208
4_flood_p95_Indirect,3.9123
4_flood_p95_Total,4.4331
3_worldpop_Direct,0.0002
3_worldpop_Indirect,0.0011
3_worldpop_Total,0.0013
