model,statistic,value
OLS,Moran's I,0.4359537415563803
OLS,Expected I,-0.004366812227074236
OLS,z-score,12.056040487186245
OLS,p-value,0.001
SLM,Moran's I,0.11116477408309458
SLM,Expected I,-0.004366812227074236
SLM,z-score,3.163271553272163
SLM,p-value,0.002
SEM,Moran's I,0.5729358567301152
SEM,Expected I,-0.004366812227074236
SEM,z-score,15.806630625131815
SEM,p-value,0.001
