,4_flood_p95,4_waste_count,3_worldpop
4_flood_p95,1.0,0.04447740526770949,0.04424646193682882
4_waste_count,0.04447740526770949,1.0,0.8229650257988205
3_worldpop,0.04424646193682882,0.8229650257988205,1.0
