,4_flood_max,4_flood_mean,4_flood_p95,4_waste_count,4_waste_per_population,4_waste_per_svi_count,3_worldpop,3_fb_baseline_median
4_flood_max,1.0,0.567312776653514,0.693556118080163,0.09691941514220838,-0.03967175164322722,0.07636545155415958,0.16813309636839954,0.1080325369644839
4_flood_mean,0.567312776653514,1.0,0.8694533164717664,0.008580110509410582,0.20267084005909386,0.009609942390601891,0.016076995141144024,-0.0329676840965608
4_flood_p95,0.693556118080163,0.8694533164717664,1.0,0.07555535592712916,0.11282911555021173,0.0587114949634227,0.07774355565602471,0.03369372901254661
4_waste_count,0.09691941514220838,0.008580110509410582,0.07555535592712916,1.0,0.17305562005932432,0.9231317998863084,0.8184784447551033,0.6117552501158574
4_waste_per_population,-0.03967175164322722,0.20267084005909386,0.11282911555021173,0.17305562005932432,1.0,0.2713946528098854,0.031041093202271733,0.0653145383274396
4_waste_per_svi_count,0.07636545155415958,0.009609942390601891,0.0587114949634227,0.9231317998863084,0.2713946528098854,1.0,0.7978353310985526,0.5224149682194945
3_worldpop,0.16813309636839954,0.016076995141144024,0.07774355565602471,0.8184784447551033,0.031041093202271733,0.7978353310985526,1.0,0.5939761328198927
3_fb_baseline_median,0.1080325369644839,-0.0329676840965608,0.03369372901254661,0.6117552501158574,0.0653145383274396,0.5224149682194945,0.5939761328198927,1.0
