model,variable,coefficient,std_err,z_stat,p_value
OLS,const,121.90761404937253,28.405850536926867,,1.7736030397187037e-05
OLS,4_flood_p95,7.887327654075036,18.249339234992444,,0.6655975233747706
OLS,4_waste_count,5.6113597049180415,1.116582207154457,,5.021792281988196e-07
OLS,4_flood_p95_x_4_waste_count,-0.38866730522270587,0.5946185553205554,,0.5133428648817355
SLM,const,5.913208302048972,33.795290998103496,0.17497136812287858,0.8611021314253211
SLM,4_flood_p95,1.3675131782450043,24.83201394342497,0.861102131425321,0.3891817953933179
SLM,4_waste_count,1.3244935182959576,0.9662600390424064,0.05507057064967117,0.9560822417720058
SLM,4_flood_p95_x_4_waste_count,-0.07462741136897255,0.6196928732809471,0.9560822417720058,0.3390306858523404
SLM,rho,0.8562983847516282,0.03571224424459445,1.370742310329393,0.17045530030996625
SEM,const,185.60045105534203,180.01004918204916,1.0310560543630491,0.30251453419982344
SEM,4_flood_p95,2.5908797463182855,28.496727644901853,0.30251453419982344,0.7622598554906443
SEM,4_waste_count,0.48473783369309176,1.1987877643772098,0.09091850048901322,0.9275573498106506
SEM,4_flood_p95_x_4_waste_count,-0.0718991479489143,0.6280954390975261,0.9275573498106506,0.3536372300497095
SEM,lambda,0.8739207733588275,0.03301949680794327,0.4043566743817419,0.685950455119015
