model,statistic,value
OLS,Moran's I,0.44528009367793775
OLS,Expected I,-0.004366812227074236
OLS,z-score,12.31139735801392
OLS,p-value,0.001
SLM,Moran's I,0.10425081497342945
SLM,Expected I,-0.004366812227074236
SLM,z-score,2.9739663522393123
SLM,p-value,0.002
SEM,Moran's I,0.5319792932882972
SEM,Expected I,-0.004366812227074236
SEM,z-score,14.685233990730318
SEM,p-value,0.001
