Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.10582389625538047,3527.7889413982607,3541.5412586339535,-1759.8944706991304
SLM,0.6474599174552951,3385.7166229714,3402.9070195160157,-1687.8583114857
SEM,0.11552178913289471,3387.1807681206915,3400.9330853563843,-1689.5903840603457
