variable,coefficient,std_err,p_value
const,-163.03175290498103,48.03812226994364,0.0006893015193764724
4_flood_p95,23.02869542668968,11.675716486885081,0.04856872736744046
4_waste_per_quadkey_area,-49921.65010872914,13350.099390832607,0.00018444415613960772
3_fb_baseline_safe,0.4323476058281852,0.08408986935884005,2.7256154688720893e-07
