model,variable,coefficient,std_err,z_stat,p_value
OLS,const,126.0679712592908,29.214985083161977,,1.5947162394692374e-05
OLS,4_flood_p95,0.3379712703553566,17.385220484641135,,0.9844899824695236
OLS,4_waste_count,4.548929826746723,2.088918213124079,,0.02943220818565143
OLS,3_worldpop,0.0004901564437417961,0.0013369485061935852,,0.7139000422638384
SLM,const,14.325968478154024,31.628866030409768,0.4529396806189711,0.6505921767676206
SLM,4_flood_p95,1.076074621064718,21.77985904095523,0.6505921767676207,0.5153097817862409
SLM,4_waste_count,2.8914525539347076,1.075928971772088,0.04940686801697148,0.960595054962134
SLM,3_worldpop,-0.001390219027011095,0.0007120416797279256,0.960595054962134,0.33675581604798266
SLM,rho,0.86909209016792,0.03329386952517252,2.687400962140091,0.007201045333778078
SEM,const,203.33699485277887,196.75927448487587,1.0334302938711466,0.3014025757202896
SEM,4_flood_p95,2.097643676468331,25.05232792341577,0.3014025757202897,0.763107530443198
SEM,4_waste_count,2.01550249200135,1.1383182323637961,0.08373048935335534,0.9332707152580009
SEM,3_worldpop,-0.0019594121202442666,0.0007807030807566927,0.9332707152580009,0.35068021132241145
SEM,lambda,0.8872389436394065,0.03054921214281696,1.7705966879016075,0.07662779313042689
