variable,coefficient,std_err,z_stat,p_value
const,-78.80416553324932,601.4420655254955,-0.13102536395487416,0.8957552428353392
4_flood_p95,39.636405218202555,370.7419753467874,0.8957552428353394,0.3703834988151433
4_waste_count,148.03263896876356,16.232235146637723,0.10691102668136554,0.9148595653050917
3_fb_baseline_median,0.7386372061178235,0.3682460341658634,0.9148595653050918,0.3602653596254015
rho,0.32989457455972315,0.07704657749468356,9.119670681916311,0.0
