Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.10594239421573715,3527.758459330087,3541.51077656578,-1759.8792296650436
SLM,0.6620643004128391,3382.0395202480513,3399.229916792667,-1686.0197601240257
SEM,0.011176494072398877,3381.096292276587,3394.84860951228,-1686.5481461382935
