variable,coefficient,std_err,z_stat,p_value
const,788.1977473686429,655.4837353742942,1.2024672845903133,0.22918253401985922
4_flood_p95,184.99680704553936,432.4622679861293,0.2291825340198591,0.818727047166518
rho,0.7692569100238218,0.04889450857902789,0.42777560203581255,0.6688145015300178
