model,variable,coefficient,std_err,z_stat,p_value
OLS,const,204.78203706540046,34.02885954771188,,1.767018810362178e-09
OLS,4_flood_p95,13.700118269100232,20.977863033456362,,0.5137079171172143
SLM,const,21.092558863814446,30.514339671715835,0.6912343210023788,0.4894182988013718
SLM,4_flood_p95,2.8483144422972746,21.995114874321306,0.4894182988013719,0.6245455836407927
SLM,rho,0.8771067940237673,0.032435805705193624,0.12949759337800065,0.8969639291250153
SEM,const,191.3651956607085,183.72348666553447,1.0415935334881035,0.2976001680021445
SEM,4_flood_p95,1.1971222846938898,25.505502671774174,0.2976001680021445,0.7660083463343961
SEM,lambda,0.8771999148304654,0.032419902330231114,0.046935843613805456,0.9625643604897656
