Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.6263700252732489,5077.182082351577,5087.746465105164,-2535.5910411757886
SLM,0.6582674967448991,5062.763985149289,5076.8498288207375,-2527.3819925746443
SEM,0.6292293601766069,5059.587426034207,5070.151808787794,-2526.7937130171035
