model,statistic,value
OLS,Moran's I,0.14009547858267243
OLS,Expected I,-0.004016064257028112
OLS,z-score,4.151537824383874
OLS,p-value,0.002
SLM,Moran's I,0.05496281165985767
SLM,Expected I,-0.004016064257028112
SLM,z-score,1.6990522020914842
SLM,p-value,0.042
SEM,Moran's I,0.14845763084484112
SEM,Expected I,-0.004016064257028112
SEM,z-score,4.392433110948573
SEM,p-value,0.002
