y,flood,waste,nobs,r2,adjr2,aic,bic
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_population,224,0.005059531382104021,-0.003944454759234439,4790.3801008359815,4800.6150389915465
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,218,0.004076221972725169,-0.0051881852647377436,1614.893308736446,1625.0467939248133
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,218,0.0037762778617195236,-0.005490919553520213,1678.5078409969547,1688.661326185322
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,224,0.0032704894678968754,-0.005749687098004497,4595.313927088324,4605.548865243889
2_outflow_max,4_flood_p95,4_waste_per_population,224,0.0029459884916512857,-0.006077124734668482,3466.7758306099868,3477.010768765552
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,224,0.0028154429781316326,-0.006208851655550296,4672.708950512006,4682.943888667571
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,224,0.0026182132801845226,-0.0064078662376418905,1722.7344736043879,1732.969411759953
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,224,0.002464117153799794,-0.006563356899107031,1657.705777294812,1667.940715450377
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_population,224,0.0023797845107067506,-0.0066484527335402,4649.882920360058,4660.117858515623
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,248,0.00148353706344162,-0.006667617736040521,1821.8001134769993,1832.3403997154942
2_displaced_excess_max,4_flood_p95,4_waste_per_population,224,0.001959450332658652,-0.007072590840801363,3406.791530358099,3417.026468513664
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,248,0.0008165892677362008,-0.00734001000354767,1894.4180300906555,1904.9583163291504
1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,224,0.0014831671182896633,-0.007553184310504113,3510.3582659533477,3520.5932041089127
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,239,0.00045127895466123835,-0.008019472918604276,1833.3418961677257,1843.7712868235203
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,224,0.0009312717427589767,-0.008110074214320084,1723.1130204218316,1733.3479585773966
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,224,0.0008405112885158106,-0.008201656030140114,1723.1333687900428,1733.3683069456079
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,224,0.0008404705182412098,-0.008201697169376576,1723.1333779302668,1733.3683160858318
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,239,7.757500846938825e-05,-0.008396343847391075,1764.2099464937924,1774.639337149587
