Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.5621854868039933,5117.800232065893,5131.886075737342,-2554.9001160329467
SLM,0.598063833030964,5106.078522091058,5123.685826680369,-2548.039261045529
SEM,0.5673390684775879,5107.778683184773,5121.864526856222,-2549.8893415923867
