Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.8480577554589632,3010.400763626323,3023.9387438774797,-1501.2003818131616
SLM,0.8510315840525368,3011.3572478042015,3028.279723118147,-1500.6786239021008
SEM,0.8411012074078235,2997.5291623214453,3011.067142572602,-1494.7645811607226
