quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction,2_D_raw,2_threshold_counts_outflow,2_D_excess,2_use_row,2_D_out_used,2_D_raw_used,2_D_excess_used
30011010220033,20240429_0000,2024-04-29,0,126.59391064809996,131.1235105414435,4.52959989334353,-3.5,3.0,False,4.52959989334353,2.8194441989732724,0.0,False,,4.52959989334353,10.100577566117483,0.0,False,0.0,0.0,0.0
30011010220210,20240429_0000,2024-04-29,0,36.66848319059456,42.50492993184712,5.836446741252566,-3.5,3.0,False,3.742702037288524,2.0937447039640418,0.6745,False,,5.836446741252566,7.121799762376629,0.0,False,0.0,0.0,0.0
30011010220211,20240429_0000,2024-04-29,0,117.15770286395446,132.6443583560372,15.486655492082747,-3.5,3.0,False,12.943240661560964,2.543414830521783,0.6745,False,,15.486655492082747,0.25461242491233627,0.0,False,0.0,0.0,0.0
30011010220212,20240429_0000,2024-04-29,0,30.20460096070617,29.74297362627191,-0.4616273344342581,-3.5,3.0,False,2.4378474281806746,1.3589976750478883,-1.439072165678913,False,,-0.4616273344342581,4.614030796678642,0.0,False,0.0,0.0,0.0
30011010220213,20240429_0000,2024-04-29,0,74.72659649166738,78.4266794593927,3.700082967725322,-3.5,3.0,False,3.700082967725322,1.1585936133139825,0.0,False,,3.700082967725322,2.3118927870544237,0.0,False,0.0,0.0,0.0
30011010220231,20240429_0000,2024-04-29,0,76.301734091722,79.52104317642052,3.219309084698523,-3.5,3.0,False,3.219309084698523,2.344789726758222,0.0,False,,3.219309084698523,8.947872596033541,0.0,False,0.0,0.0,0.0
30011010220233,20240429_0000,2024-04-29,0,121.57283606600876,120.70137531846402,-0.8714607475447451,-3.5,3.0,False,-7.79931399071441,4.299510429166489,1.0868300215808115,False,,-0.8714607475447451,30.10959790781257,0.0,False,0.0,0.0,0.0
30011010220300,20240429_0000,2024-04-29,0,115.33575335960614,123.85195376442702,8.516200404820879,-3.5,3.0,False,8.516200404820879,5.923892524761541,0.0,False,,8.516200404820879,22.22304916770009,0.0,False,0.0,0.0,0.0
30011010220302,20240429_0000,2024-04-29,0,87.46922212380615,98.99441192427332,11.525189800467174,-3.5,3.0,False,11.218088645506867,0.3071011549603071,0.6745,False,,11.525189800467174,0.0,0.0,False,0.0,0.0,0.0
30011010220303,20240429_0000,2024-04-29,0,67.05048784560151,75.00209102013888,7.951603174537368,-3.5,3.0,False,3.430745951960411,3.78019075305118,0.8066572286509356,False,,7.951603174537368,16.18477315208574,0.0,False,0.0,0.0,0.0
30011010220311,20240429_0000,2024-04-29,0,58.96240982069281,60.58153300004087,1.6191231793480583,-3.5,3.0,False,0.7467113754851269,0.8724118038629314,0.6745,False,,1.6191231793480583,3.7802586964500247,0.0,False,0.0,0.0,0.0
30011010220312,20240429_0000,2024-04-29,0,89.41461170881188,82.51816448701248,-6.8964472217993915,-3.5,3.0,False,-2.563741356421062,4.33270586537833,-0.6745,False,,-6.8964472217993915,25.046277351712614,0.0,False,0.0,0.0,0.0
30011010220313,20240429_0000,2024-04-29,0,138.58886366351257,136.83632641654978,-1.7525372469627882,-3.5,3.0,False,-4.650523652677748,2.89798640571496,0.6745,False,,-1.7525372469627882,19.688258893600445,0.0,False,0.0,0.0,0.0
30011010220320,20240429_0000,2024-04-29,0,155.42769726495405,165.15996103867596,9.732263773721911,-3.5,3.0,False,8.208006513289718,1.5242572604321936,0.6745,False,,9.732263773721911,0.0,0.0,False,0.0,0.0,0.0
30011010220321,20240429_0000,2024-04-29,0,142.67746484849377,140.2943168222366,-2.3831480262571745,-3.5,3.0,False,-2.749507726605998,0.3663597003488235,0.6745,False,,-2.3831480262571745,4.650558803286327,0.0,False,0.0,0.0,0.0
30011010220322,20240429_0000,2024-04-29,0,356.9923392988997,354.321039209687,-2.671300089212707,-3.5,3.0,False,-3.2340245512359047,0.5627244620231977,0.6745,False,,-2.671300089212707,6.154018053209503,0.0,False,0.0,0.0,0.0
30011010220323,20240429_0000,2024-04-29,0,336.8944570373072,332.21799947686463,-4.676457560442543,-3.5,3.0,False,-7.913404602349829,3.2369470419072854,0.6745,False,,-4.676457560442543,24.710016383929513,0.0,False,0.0,0.0,0.0
30011010220330,20240429_0000,2024-04-29,0,180.22844446346755,175.45544355657876,-4.773000906888797,-3.5,3.0,False,-2.9097785416827833,1.8632223652060134,-0.6745,False,,-4.773000906888797,12.578093261061651,0.0,False,0.0,0.0,0.0
30011010220331,20240429_0000,2024-04-29,0,228.6865155452944,245.4187084831195,16.73219293782509,-3.5,3.0,False,-13.036293709256995,5.431290166257725,3.696882992589516,False,,16.73219293782509,41.21941540221776,0.0,False,0.0,0.0,0.0
30011010220332,20240429_0000,2024-04-29,0,523.9743456291424,504.6586727389867,-19.315672890155668,-3.5,3.0,False,-21.508244586222304,2.1925716960666364,0.6745,False,,-19.315672890155668,32.8855625050262,0.0,False,0.0,0.0,0.0
30011010220333,20240429_0000,2024-04-29,0,372.82662407314376,377.1411693842636,4.3145453111198435,-3.5,3.0,False,-2.2698255867347257,6.584370897854569,0.6745,False,,4.3145453111198435,36.43631653186592,0.0,False,0.0,0.0,0.0
30011010221032,20240429_0000,2024-04-29,0,64.41950058078774,65.17491252765205,0.7554119468643137,-3.5,3.0,False,-5.962731065270468,0.9576959864057741,4.731551062139431,False,,0.7554119468643137,10.93224322601207,0.0,False,0.0,0.0,0.0
