quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010232000,0,-3.5,3,False
30011010232001,0,-3.5,3,False
30011010232002,0,-3.5,3,False
30011010232003,0,-3.5,3,False
30011010232010,0,-3.5,3,False
30011010232011,0,-3.5,3,False
30011010232012,0,-3.5,3,False
30011010232013,0,-3.5,3,False
30011010232020,0,-3.5,3,False
30011010232021,0,-3.5,3,False
30011010232022,0,-3.5,3,False
30011010232023,0,-3.5,3,False
30011010232030,0,-3.5,3,False
30011010232031,0,-3.5,3,False
30011010232032,0,-3.5,3,False
30011010232033,0,-3.5,3,False
30011010232100,0,-3.5,3,False
30011010232102,0,-3.5,3,False
30011010232103,0,-3.5,3,False
30011010232110,0,,2,True
30011010232112,0,-3.5,3,False
30011010232113,0,-3.5,3,False
30011010232120,0,-3.5,3,False
30011010232121,0,-3.5,3,False
30011010232122,0,-3.5,3,False
30011010232123,0,-3.5,3,False
30011010232130,0,-3.5,3,False
30011010232131,0,-3.5,3,False
30011010232132,0,-3.5,3,False
30011010232133,0,-3.5,3,False
30011010232200,0,-3.5,3,False
30011010232202,0,-3.5,3,False
30011010232203,0,-3.5,3,False
30011010232210,0,-3.5,3,False
30011010232220,0,-3.5,3,False
30011010232221,0,-3.5,3,False
30011010232222,0,-3.5,3,False
30011010232223,0,-3.5,3,False
30011010233000,0,,2,True
30011010233002,0,-3.5,3,False
30011010233020,0,-3.5,3,False
30011012000110,0,-3.5,3,False
30011012000111,0,-3.5,3,False
30011012001000,0,-3.5,3,False
30011012001001,0,-3.5,3,False
30011012001010,0,-3.5,3,False
30011012001110,0,,2,True
30011012010001,0,-3.5,3,False
30011012010003,0,-3.5,3,False
30011012010012,0,-3.5,3,False
30011012010013,0,-3.5,3,False
30011012010020,0,-3.5,3,False
30011012010021,0,-3.5,3,False
30011012010022,0,-3.5,3,False
30011012010023,0,-3.5,3,False
30011012010030,0,-3.5,3,False
30011012010031,0,-3.5,3,False
30011012010032,0,-3.5,3,False
30011012010102,0,-3.5,3,False
30011012010120,0,-3.5,3,False
30011012010200,0,-3.5,3,False
30011012010201,0,-3.5,3,False
30011012010202,0,-3.5,3,False
30011012010203,0,-3.5,3,False
30011012010210,0,-3.5,3,False
30011012010220,0,-3.5,3,False
30011012010221,0,-3.5,3,False
30011010220033,8,-3.5,4,False
30011010220210,8,-3.5,4,False
30011010220211,8,-3.5,4,False
30011010220212,8,-3.5,4,False
30011010220213,8,-3.5,4,False
30011010220231,8,-3.5,4,False
30011010220233,8,-3.5,4,False
30011010220300,8,-3.5,4,False
30011010220302,8,-3.5,4,False
