quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010222302,20240429_0000,2024-04-29 00:00:00,0,657.9716484080483,628.5645289431751,-29.407119464873176,-3.5,3.0,False,-3.20578480840868,0.822580005777354,-21.484597366409563,True,outflow
30011010223131,20240429_0000,2024-04-29 00:00:00,0,4381.917336836741,4180.957599318691,-200.95973751805013,-3.5,3.0,False,-139.51746637922315,5.188578287931705,-7.987315519461677,True,outflow
30011010223212,20240429_0000,2024-04-29 00:00:00,0,513.6274340440306,494.990029643896,-18.637404400134585,-3.5,3.0,False,7.6404003568193275,1.8870393995854897,-9.392691701327902,True,outflow
30011010232223,20240429_0000,2024-04-29 00:00:00,0,1062.0831929858111,1042.4059005685092,-19.677292417301942,-3.5,3.0,False,-12.207171311479215,0.5063628726270508,-9.950565016224017,True,outflow
30011010220333,20240429_0800,2024-04-29 08:00:00,8,472.8171906062995,446.7371963280679,-26.079994278231595,-3.5,4.0,False,-9.87121951422472,2.954830358870794,-3.6999818096158585,True,outflow
30011010222121,20240429_0800,2024-04-29 08:00:00,8,514.5275852327313,426.946735990899,-87.58084924183231,-3.5,4.0,False,-23.064055887365384,8.054751051060322,-5.402597403908524,True,outflow
30011010223002,20240429_0800,2024-04-29 08:00:00,8,1787.442483945046,1668.3348939665834,-119.10758997846256,-3.5,4.0,False,-35.95624083253381,14.458270566005922,-3.8791351111381576,True,outflow
30011010223200,20240429_0800,2024-04-29 08:00:00,8,577.7475552268756,572.7675096896347,-4.980045537240926,-3.5,4.0,False,5.954713592979431,0.7822358250301136,-9.42873593529125,True,outflow
30011010232220,20240429_0800,2024-04-29 08:00:00,8,847.8973234312338,815.0370538481792,-32.86026958305456,-3.5,4.0,False,-1.3950636473167037,2.940147210739781,-7.218441759014889,True,outflow
30011012010220,20240429_0800,2024-04-29 08:00:00,8,41.3627113371535,38.87475053218062,-2.4879608049728787,-3.5,4.0,False,0.723330607833546,0.5617454213281583,-3.8558677573494604,True,outflow
30011010222303,20240429_1600,2024-04-29 16:00:00,16,193.4241250406724,183.8024409118035,-9.621684128868907,-3.5,3.0,False,-0.5551748488487647,0.4497797388589788,-13.596345012977471,True,outflow
30011010222312,20240429_1600,2024-04-29 16:00:00,16,166.6314268898712,159.01567042444756,-7.61575646542363,-3.5,3.0,False,-1.3662923992325204,0.6546737271503957,-6.4387241122287255,True,outflow
30011010223002,20240429_1600,2024-04-29 16:00:00,16,1152.9653268501963,1079.4608540264132,-73.50447282378309,-3.5,3.0,False,-19.07530358844224,10.18441283183779,-3.6047708645970697,True,outflow
30011010223202,20240429_1600,2024-04-29 16:00:00,16,327.16840250930505,318.5290014080859,-8.639401101219164,-3.5,3.0,False,9.671071392434783,0.4551596072903408,-27.134248072877455,True,outflow
30011010230022,20240429_1600,2024-04-29 16:00:00,16,154.17200045124582,136.0809696766045,-18.091030774641325,-3.5,3.0,False,-12.805674344842203,0.10324110829290589,-34.530556392181545,True,outflow
30011010232200,20240429_1600,2024-04-29 16:00:00,16,889.1831528746815,842.1124555321679,-47.07069734251354,-3.5,3.0,False,22.940021262753817,12.781255943296173,-3.694647060410452,True,outflow
30011010232223,20240429_1600,2024-04-29 16:00:00,16,726.9780599828078,713.2940395931354,-13.684020389672469,-3.5,3.0,False,17.756013244147994,0.5163598680009045,-41.06884364989952,True,outflow
30011012010020,20240429_1600,2024-04-29 16:00:00,16,118.82643132598032,113.89897448503817,-4.927456840942156,-3.5,3.0,False,7.027568575044313,0.4098662969111757,-19.67389049514943,True,outflow
30011010220322,20240430_0000,2024-04-30 00:00:00,0,347.44690563426036,328.08733414767494,-19.359571486585423,-3.5,3.0,False,-3.2340245512359047,0.5627244620231977,-19.328609545047414,True,outflow
30011010221210,20240430_0000,2024-04-30 00:00:00,0,152.36996041213575,125.80287587310484,-26.567084539030915,-3.5,3.0,False,-13.265171207436111,2.3940972615199883,-3.7476090409394534,True,outflow
30011010221212,20240430_0000,2024-04-30 00:00:00,0,258.3127369073451,241.67144254866,-16.641294358685087,-3.5,3.0,False,-1.2153089243925592,1.9047122029975583,-5.462676807055479,True,outflow
30011010222131,20240430_0000,2024-04-30 00:00:00,0,1456.315450110049,1443.3057031593091,-13.009746950739782,-3.5,3.0,False,6.0737057363201075,0.22510625127324602,-57.18094795065211,True,outflow
30011010222133,20240430_0000,2024-04-30 00:00:00,0,771.1670601781714,753.6614611932355,-17.505598984935887,-3.5,3.0,False,-10.995291242921667,0.5649575025446438,-7.772624581866831,True,outflow
30011010223021,20240430_0000,2024-04-30 00:00:00,0,3442.6292574648664,3394.11985958092,-48.50939788394635,-3.5,3.0,False,16.656316881018938,0.5351869431929117,-82.12882464347692,True,outflow
30011010223120,20240430_0000,2024-04-30 00:00:00,0,9768.432209143695,9705.659527748883,-62.772681394812025,-3.5,3.0,False,26.85904908827979,1.8731083071397734,-32.27608461315424,True,outflow
30011010223121,20240430_0000,2024-04-30 00:00:00,0,6063.395977677925,5862.957694733327,-200.43828294459763,-3.5,3.0,False,-5.725997353833009,15.30508685883433,-8.581031773443552,True,outflow
30011010223202,20240430_0000,2024-04-30 00:00:00,0,568.221850113575,578.4975690970839,10.27571898350891,-3.5,3.0,False,39.88823512168642,3.1013077569556344,-6.440393440607018,True,outflow
