quadkey,ts_prefix,dt,hour,baseline,crisis,is_crisis_week,1_baseline_median,1_low_confidence,1_shortfall
30011010220033,20240429_0000,2024-04-29 00:00:00,0,126.59391064809996,131.1235105414435,False,123.27302888393233,False,0.0
30011010220210,20240429_0000,2024-04-29 00:00:00,0,36.66848319059456,42.50492993184712,False,36.753752307670176,False,0.0
30011010220211,20240429_0000,2024-04-29 00:00:00,0,117.15770286395446,132.6443583560372,False,114.91492996835638,False,0.0
30011010220212,20240429_0000,2024-04-29 00:00:00,0,30.20460096070617,29.74297362627191,False,27.486560821501044,False,0.0
30011010220213,20240429_0000,2024-04-29 00:00:00,0,74.72659649166738,78.4266794593927,False,74.65523602937752,False,0.0
30011010220231,20240429_0000,2024-04-29 00:00:00,0,76.301734091722,79.52104317642052,False,76.301734091722,False,0.0
30011010220233,20240429_0000,2024-04-29 00:00:00,0,121.57283606600876,120.70137531846402,False,125.4328303701306,False,4.731455051666586
30011010220300,20240429_0000,2024-04-29 00:00:00,0,115.33575335960614,123.85195376442702,False,113.73095781817544,False,0.0
30011010220302,20240429_0000,2024-04-29 00:00:00,0,87.46922212380615,98.99441192427332,False,84.10084910105756,False,0.0
30011010220303,20240429_0000,2024-04-29 00:00:00,0,67.05048784560151,75.00209102013888,False,67.05048784560151,False,0.0
30011010220311,20240429_0000,2024-04-29 00:00:00,0,58.96240982069281,60.58153300004087,False,58.96240982069281,False,0.0
30011010220312,20240429_0000,2024-04-29 00:00:00,0,89.41461170881188,82.51816448701248,False,83.3454474580402,False,0.8272829710277136
30011010220313,20240429_0000,2024-04-29 00:00:00,0,138.58886366351257,136.83632641654978,False,138.58886366351257,False,1.7525372469627882
30011010220320,20240429_0000,2024-04-29 00:00:00,0,155.42769726495405,165.15996103867596,False,152.10823638018374,False,0.0
30011010220321,20240429_0000,2024-04-29 00:00:00,0,142.67746484849377,140.2943168222366,False,135.14418649657063,False,0.0
30011010220322,20240429_0000,2024-04-29 00:00:00,0,356.9923392988997,354.321039209687,False,347.44690563426036,False,0.0
30011010220323,20240429_0000,2024-04-29 00:00:00,0,336.8944570373072,332.21799947686463,False,324.2721342461907,False,0.0
30011010220330,20240429_0000,2024-04-29 00:00:00,0,180.22844446346755,175.45544355657876,False,175.03522407214336,False,0.0
30011010220331,20240429_0000,2024-04-29 00:00:00,0,228.6865155452944,245.4187084831195,False,230.0395977486778,False,0.0
30011010220332,20240429_0000,2024-04-29 00:00:00,0,523.9743456291424,504.6586727389867,False,502.0844104929967,False,0.0
30011010220333,20240429_0000,2024-04-29 00:00:00,0,372.82662407314376,377.1411693842636,False,370.5546149886373,False,0.0
30011010221032,20240429_0000,2024-04-29 00:00:00,0,64.41950058078774,65.17491252765205,False,64.25861069588036,False,0.0
30011010221033,20240429_0000,2024-04-29 00:00:00,0,116.67315676103112,118.48623149505369,False,116.67315676103112,False,0.0
30011010221122,20240429_0000,2024-04-29 00:00:00,0,73.45105134717426,69.78484752933879,False,73.30348483555343,False,3.518637306214643
30011010221133,20240429_0000,2024-04-29 00:00:00,0,178.88274425297135,172.84729088754804,False,178.69861733164606,False,5.851326444098021
30011010221200,20240429_0000,2024-04-29 00:00:00,0,119.30960313603352,122.38392619328208,False,119.30960313603352,False,0.0
30011010221201,20240429_0000,2024-04-29 00:00:00,0,129.74082754540288,126.2298380103859,False,129.74082754540288,False,3.510989535016975
30011010221202,20240429_0000,2024-04-29 00:00:00,0,314.55452651724397,323.4954661603717,False,314.55452651724397,False,0.0
30011010221203,20240429_0000,2024-04-29 00:00:00,0,300.97911695961204,307.60972153016127,False,300.97911695961204,False,0.0
30011010221210,20240429_0000,2024-04-29 00:00:00,0,158.58000054234924,147.70892659643312,False,152.36996041213575,False,4.661033815702638
30011010221211,20240429_0000,2024-04-29 00:00:00,0,301.82952284916126,279.0396376930974,False,301.82952284916126,False,22.78988515606386
30011010221212,20240429_0000,2024-04-29 00:00:00,0,255.79291352761615,256.48231680622115,False,255.79291352761615,False,0.0
30011010221213,20240429_0000,2024-04-29 00:00:00,0,419.87909291758376,422.25996207178247,False,419.87909291758376,False,0.0
30011010221220,20240429_0000,2024-04-29 00:00:00,0,404.15066260742,413.7329522655831,False,409.24695530144623,False,0.0
30011010221221,20240429_0000,2024-04-29 00:00:00,0,831.499706504067,845.0649468777598,False,832.0982290613485,False,0.0
30011010221222,20240429_0000,2024-04-29 00:00:00,0,467.03816819743383,506.35132487276,False,475.06401327637536,False,0.0
30011010221223,20240429_0000,2024-04-29 00:00:00,0,792.9245081560755,855.251970297505,False,830.8665967320389,False,0.0
30011010221230,20240429_0000,2024-04-29 00:00:00,0,622.93879130353,656.8788074186177,False,622.93879130353,False,0.0
30011010221231,20240429_0000,2024-04-29 00:00:00,0,448.2931974026403,479.0764988055398,False,484.37322468045664,False,5.296725874916831
30011010221232,20240429_0000,2024-04-29 00:00:00,0,973.3284472200896,966.75472807985,False,983.5286905509998,False,16.773962471149844
30011010221233,20240429_0000,2024-04-29 00:00:00,0,919.9158540536916,931.94134986377,False,923.6053715575754,False,0.0
30011010221300,20240429_0000,2024-04-29 00:00:00,0,224.2374287610124,191.6900161247908,False,224.2374287610124,False,32.54741263622162
30011010221301,20240429_0000,2024-04-29 00:00:00,0,132.8125675556496,128.41175918210234,False,132.8125675556496,False,4.40080837354725
30011010221302,20240429_0000,2024-04-29 00:00:00,0,752.724365619807,693.9144942892514,False,750.0968136315798,False,56.18231934232847
