quadkey,hour,1_baseline_median,1_n_samples,1_low_confidence
30011010220033,0,123.27302888393233,3,False
30011010220210,0,36.753752307670176,3,False
30011010220211,0,114.91492996835638,3,False
30011010220212,0,27.486560821501044,3,False
30011010220213,0,74.65523602937752,3,False
30011010220231,0,76.301734091722,3,False
30011010220233,0,125.4328303701306,3,False
30011010220300,0,113.73095781817544,3,False
30011010220302,0,84.10084910105756,3,False
30011010220303,0,67.05048784560151,3,False
30011010220311,0,58.96240982069281,3,False
30011010220312,0,83.3454474580402,3,False
30011010220313,0,138.58886366351257,3,False
30011010220320,0,152.10823638018374,3,False
30011010220321,0,135.14418649657063,3,False
30011010220322,0,347.44690563426036,3,False
30011010220323,0,324.2721342461907,3,False
30011010220330,0,175.03522407214336,3,False
30011010220331,0,230.0395977486778,3,False
30011010220332,0,502.0844104929967,3,False
30011010220333,0,370.5546149886373,3,False
30011010221032,0,64.25861069588036,3,False
30011010221033,0,116.67315676103112,3,False
30011010221122,0,73.30348483555343,3,False
30011010221133,0,178.69861733164606,3,False
30011010221200,0,119.30960313603352,3,False
30011010221201,0,129.74082754540288,3,False
30011010221202,0,314.55452651724397,3,False
30011010221203,0,300.97911695961204,3,False
30011010221210,0,152.36996041213575,3,False
30011010221211,0,301.82952284916126,3,False
30011010221212,0,255.79291352761615,3,False
30011010221213,0,419.87909291758376,3,False
30011010221220,0,409.24695530144623,3,False
30011010221221,0,832.0982290613485,3,False
30011010221222,0,475.06401327637536,3,False
30011010221223,0,830.8665967320389,3,False
30011010221230,0,622.93879130353,3,False
30011010221231,0,484.37322468045664,3,False
30011010221232,0,983.5286905509998,3,False
30011010221233,0,923.6053715575754,3,False
30011010221300,0,224.2374287610124,3,False
30011010221301,0,132.8125675556496,3,False
30011010221302,0,750.0968136315798,3,False
30011010221303,0,326.3966214051458,3,False
30011010221311,0,363.1294909186073,3,False
30011010221312,0,552.9876579491834,3,False
30011010221313,0,1158.8230916708878,3,False
30011010221320,0,757.9394399964345,3,False
30011010221321,0,522.5235521245672,3,False
30011010221322,0,977.5063121374512,3,False
30011010221323,0,1029.3359493350024,3,False
30011010221330,0,1036.3840703503154,3,False
30011010221331,0,2211.3251921710216,3,False
30011010221332,0,2289.647723047232,3,False
30011010221333,0,2902.8974358715336,3,False
30011010222011,0,155.52700704753076,3,False
30011010222013,0,133.9226201657662,3,False
