Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.1090881066548075,3525.9632390384513,3536.277476965221,-1759.9816195192257
SLM,0.6475408427179343,3383.7311171295064,3397.483434365199,-1687.8655585647532
SEM,0.1161928796107124,3385.1938715123338,3395.5081094391035,-1689.5969357561669
