model,variable,coefficient,std_err,z_stat,p_value
OLS,const,129.18353370008262,29.850675734474276,,1.5070281897895758e-05
OLS,4_flood_p95,0.7240106392407791,17.061716613065926,,0.9661520819315389
OLS,4_waste_count,5.1530575809768,0.9846535464814709,,1.6644593966344485e-07
SLM,const,7.292971906922233,31.747202353565537,0.2297201443359042,0.8183092405625536
SLM,4_flood_p95,-0.008008044988173646,22.049077650459253,0.8183092405625536,0.4131806310028925
SLM,4_waste_count,1.2359404921205042,0.6318762228257069,-0.0003631918357368046,0.9997102148480268
SLM,rho,0.8564197579925164,0.03569474138217644,0.9997102148480268,0.3174507672288662
SEM,const,187.02882405161583,179.579264466134,1.0414834062698075,0.29765125058949415
SEM,4_flood_p95,1.1418344864403238,25.531600878900075,0.29765125058949404,0.7659693541276706
SEM,4_waste_count,0.39887210991510186,0.9350588290649406,0.04472240075568325,0.9643285783387434
SEM,lambda,0.8739184241151164,0.033019924434423836,0.9643285783387435,0.334881217323141
