Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.6452258435413818,5065.221750368584,5079.307594040033,-2528.610875184292
SLM,0.6676841791857218,5056.486205187138,5074.093509776449,-2523.243102593569
SEM,0.6493235578189013,5048.893378620093,5062.979222291542,-2520.4466893100466
