model,statistic,value
OLS,Moran's I,0.13659170001299253
OLS,Expected I,-0.004016064257028112
OLS,z-score,4.050601639997369
OLS,p-value,0.002
SLM,Moran's I,0.06879450320452223
SLM,Expected I,-0.004016064257028112
SLM,z-score,2.097512932518599
SLM,p-value,0.019
SEM,Moran's I,0.13886092256813967
SEM,Expected I,-0.004016064257028112
SEM,z-score,4.115972970315561
SEM,p-value,0.002
