model,variable,coefficient,std_err,z_stat,p_value
OLS,const,1197.9575738522726,578.318319278147,,0.03831674768369081
OLS,4_flood_p95,-8.303284614431675,521.866019499384,,0.9873055864226478
OLS,4_waste_count,212.84531313649458,30.995193246386503,,6.55464907953872e-12
SLM,const,163.199090037489,584.7924145691749,0.2790718312543779,0.7801897000693694
SLM,4_flood_p95,12.173801996807171,371.2385241399243,0.7801897000693694,0.4352792240634935
SLM,4_waste_count,158.29573152810278,14.965570478206375,0.03279239950921343,0.9738401392677536
SLM,rho,0.40491113391794087,0.06896696944581276,0.9738401392677536,0.3301359196257714
SEM,const,1414.6300232004724,898.7187783551849,1.5740519251077592,0.11547544553100764
SEM,4_flood_p95,128.55464158474965,428.5151883667555,0.11547544553100758,0.9080682818929093
SEM,4_waste_count,189.06824026568924,15.22503075938115,0.30000019853374,0.7641770041854004
SEM,lambda,0.46474456968852057,0.08315398383181608,0.7641770041854004,0.44476176839546055
