Model,Adj. R²,AIC,BIC,Log-Likelihood
OLS,0.5341937609170023,5132.308036457842,5142.872419211429,-2563.154018228921
SLM,0.5962582781011948,5107.849367371759,5121.935211043208,-2549.9246836858797
SEM,0.5376611318918615,5114.193708188462,5124.7580909420485,-2554.096854094231
